epoch,rank,dev_idx,id,label,logit0,logit1,p_dep,pred,correct,margin,ce_loss,actual_lens,v_path,a_path,l_path,v_len,a_len,v_norm,a_norm,has_nan_inf,has_allzero
30,1,60,618,0,-2.399817,2.603012,0.993326,1,0,5.002829,5.009525,,data/dvlog-dataset/dvlog-dataset/618/618_visual.npy,data/dvlog-dataset/dvlog-dataset/618/618_acoustic.npy,data/dvlog-dataset/dvlog-dataset/618/618_visual.npy,1102,1102,320.649341,127473.367793,False,False
30,2,70,690,0,-2.362554,2.588497,0.992974,1,0,4.951051,4.958102,,data/dvlog-dataset/dvlog-dataset/690/690_visual.npy,data/dvlog-dataset/dvlog-dataset/690/690_acoustic.npy,data/dvlog-dataset/dvlog-dataset/690/690_visual.npy,701,701,278.668262,100822.280770,False,False
30,3,35,317,1,2.289728,-2.129581,0.011899,0,0,4.419309,4.431280,,data/dvlog-dataset/dvlog-dataset/317/317_visual.npy,data/dvlog-dataset/dvlog-dataset/317/317_acoustic.npy,data/dvlog-dataset/dvlog-dataset/317/317_visual.npy,899,899,321.496501,118196.661067,False,False
30,4,26,252,1,2.093706,-2.043931,0.015710,0,0,4.137637,4.153471,,data/dvlog-dataset/dvlog-dataset/252/252_visual.npy,data/dvlog-dataset/dvlog-dataset/252/252_acoustic.npy,data/dvlog-dataset/dvlog-dataset/252/252_visual.npy,682,682,287.791591,104237.846835,False,False
30,5,25,249,1,2.110141,-1.962042,0.016755,0,0,4.072183,4.089079,,data/dvlog-dataset/dvlog-dataset/249/249_visual.npy,data/dvlog-dataset/dvlog-dataset/249/249_acoustic.npy,data/dvlog-dataset/dvlog-dataset/249/249_visual.npy,594,594,222.189109,92047.728553,False,False
30,6,97,925,0,-1.971505,2.037963,0.982180,1,0,4.009468,4.027449,,data/dvlog-dataset/dvlog-dataset/925/925_visual.npy,data/dvlog-dataset/dvlog-dataset/925/925_acoustic.npy,data/dvlog-dataset/dvlog-dataset/925/925_visual.npy,323,322,202.662281,66578.044371,False,False
30,7,84,799,0,-1.969028,2.034303,0.982073,1,0,4.003331,4.021421,,data/dvlog-dataset/dvlog-dataset/799/799_visual.npy,data/dvlog-dataset/dvlog-dataset/799/799_acoustic.npy,data/dvlog-dataset/dvlog-dataset/799/799_visual.npy,912,912,0.000000,115227.936352,False,True
30,8,4,43,1,2.054457,-1.936114,0.018154,0,0,3.990571,4.008892,,data/dvlog-dataset/dvlog-dataset/43/43_visual.npy,data/dvlog-dataset/dvlog-dataset/43/43_acoustic.npy,data/dvlog-dataset/dvlog-dataset/43/43_visual.npy,672,672,282.545572,96687.469212,False,False
30,9,85,808,0,-1.970864,1.888218,0.979348,1,0,3.859082,3.879950,,data/dvlog-dataset/dvlog-dataset/808/808_visual.npy,data/dvlog-dataset/dvlog-dataset/808/808_acoustic.npy,data/dvlog-dataset/dvlog-dataset/808/808_visual.npy,365,365,215.034881,68346.006020,False,False
30,10,86,811,0,-1.825960,1.854287,0.975404,1,0,3.680247,3.705151,,data/dvlog-dataset/dvlog-dataset/811/811_visual.npy,data/dvlog-dataset/dvlog-dataset/811/811_acoustic.npy,data/dvlog-dataset/dvlog-dataset/811/811_visual.npy,752,752,0.000000,103621.440094,False,True
